match_id,date,venue,city,match_type,team1,team2,toss_winner,toss_decision,winner,total_runs,total_wickets,total_balls,total_overs
383283,2009-06-29,County Ground,Chelmsford,ODI,England,Australia,Australia,bat,England,267,11,481,80.17
385025,2009-01-31,Gymkhana Club Ground,Nairobi,ODI,Kenya,Zimbabwe,Kenya,bat,Zimbabwe,470,16,598,99.67
385749,2009-01-20,National Stadium,Karachi,ODI,Pakistan,Sri Lanka,Sri Lanka,bat,Pakistan,439,12,558,93.0
385750,2009-01-21,National Stadium,Karachi,ODI,Pakistan,Sri Lanka,Pakistan,field,Sri Lanka,451,18,527,87.83
385751,2009-01-24,Gaddafi Stadium,Lahore,ODI,Pakistan,Sri Lanka,Sri Lanka,bat,Sri Lanka,384,15,449,74.83
386530,2009-01-28,Rangiri Dambulla International Stadium,,ODI,Sri Lanka,India,India,field,India,493,11,603,100.5
386531,2009-01-31,R Premadasa Stadium,Colombo,ODI,Sri Lanka,India,India,bat,India,497,19,615,102.5
386532,2009-02-03,R Premadasa Stadium,Colombo,ODI,Sri Lanka,India,India,bat,India,579,15,564,94.0
386533,2009-02-05,R Premadasa Stadium,Colombo,ODI,Sri Lanka,India,India,bat,India,597,15,605,100.83
386534,2009-02-08,R Premadasa Stadium,Colombo,ODI,Sri Lanka,India,Sri Lanka,bat,Sri Lanka,572,18,607,101.17
387566,2009-11-22,SuperSport Park,Centurion,ODI,South Africa,England,England,field,England,502,12,595,99.17
387567,2009-11-27,Newlands,Cape Town,ODI,South Africa,England,South Africa,bat,South Africa,596,16,559,93.17
387568,2009-11-29,St George's Park,Port Elizabeth,ODI,South Africa,England,South Africa,bat,England,240,13,417,69.5
390204,2009-04-01,Willowmoore Park,Benoni,ODI,Ireland,Scotland,Ireland,field,Ireland,465,10,551,91.83
390227,2009-04-08,Willowmoore Park,Benoni,ODI,Canada,Scotland,Scotland,field,Canada,356,17,500,83.33
392616,2009-04-22,Dubai Sports City Cricket Stadium,,ODI,Australia,Pakistan,Australia,bat,Pakistan,339,16,507,84.5
