match_id,date,venue,city,match_type,team1,team2,toss_winner,toss_decision,winner,total_runs,total_wickets,total_balls,total_overs
1153847,2019-02-28,Seddon Park,Hamilton,Test,New Zealand,Bangladesh,New Zealand,field,New Zealand,1378,26,1962,327.0
1153848,2019-03-08,Basin Reserve,Wellington,Test,New Zealand,Bangladesh,New Zealand,field,New Zealand,852,26,1221,203.5
1157370,2018-10-07,Dubai International Cricket Stadium,,Test,Pakistan,Australia,Pakistan,bat,,1227,34,2679,446.5
1157371,2018-10-16,Sheikh Zayed Stadium,Abu Dhabi,Test,Pakistan,Australia,Pakistan,bat,Pakistan,991,38,1814,302.33
1157381,2018-11-16,Sheikh Zayed Stadium,Abu Dhabi,Test,New Zealand,Pakistan,New Zealand,bat,New Zealand,800,40,1859,309.83
1157382,2018-11-24,Dubai International Cricket Stadium,,Test,Pakistan,New Zealand,Pakistan,bat,Pakistan,820,25,1894,315.67
1157383,2018-12-03,Sheikh Zayed Stadium,Abu Dhabi,Test,New Zealand,Pakistan,New Zealand,bat,New Zealand,1131,37,2525,420.83
1157752,2018-10-04,Saurashtra Cricket Association Stadium,Rajkot,Test,India,West Indies,India,bat,India,1026,29,1497,249.5
1157753,2018-10-12,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Test,West Indies,India,West Indies,bat,India,880,30,1630,271.67
1158062,2019-01-23,"Kensington Oval, Barbados",Bridgetown,Test,West Indies,England,West Indies,bat,West Indies,1027,36,1903,317.17
1158063,2019-01-31,"Sir Vivian Richards Stadium, Antigua",North Sound,Test,West Indies,England,West Indies,field,West Indies,642,30,1424,237.33
1158064,2019-02-09,"Daren Sammy National Cricket Stadium, St Lucia",Gros Islet,Test,West Indies,England,West Indies,field,England,1044,35,1978,329.67
1168025,2019-07-18,The Cooper Associates County Ground,Taunton,Test,England,Australia,Australia,bat,,925,24,1962,327.0
1183530,2019-11-21,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Test,Australia,Pakistan,Pakistan,bat,Australia,1155,30,1977,329.5
1183531,2019-11-29,Adelaide Oval,Adelaide,Test,Australia,Pakistan,Australia,bat,Australia,1130,23,1830,305.0
1183532,2019-12-12,Perth Stadium,Perth,Test,Australia,New Zealand,Australia,bat,Australia,970,39,2041,340.17
1183533,2019-12-26,Melbourne Cricket Ground,Melbourne,Test,Australia,New Zealand,New Zealand,field,Australia,1023,34,2027,337.83
1183534,2020-01-03,Sydney Cricket Ground,Sydney,Test,Australia,New Zealand,Australia,bat,Australia,1058,31,2078,346.33
1185304,2019-12-26,SuperSport Park,Centurion,Test,South Africa,England,England,field,South Africa,1005,40,1771,295.17
1185305,2020-01-03,Newlands,Cape Town,Test,South Africa,England,England,bat,England,1131,38,2588,431.33
1185306,2020-01-16,St George's Park,Port Elizabeth,Test,South Africa,England,England,bat,England,945,29,1976,329.33
1185307,2020-01-24,The Wanderers Stadium,Johannesburg,Test,South Africa,England,England,bat,England,1105,40,1845,307.5
1187007,2019-10-02,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Test,India,South Africa,India,bat,India,1447,31,2397,399.5
1187008,2019-10-10,Maharashtra Cricket Association Stadium,Pune,Test,India,South Africa,India,bat,India,1065,25,1990,331.67
1187009,2019-10-19,JSCA International Stadium Complex,Ranchi,Test,India,South Africa,India,bat,India,792,30,1327,221.17
1187016,2019-11-14,Holkar Cricket Stadium,Indore,Test,India,Bangladesh,Bangladesh,bat,India,856,26,1460,243.33
1187017,2019-11-22,Eden Gardens,Kolkata,Test,India,Bangladesh,Bangladesh,bat,India,648,30,973,162.17
1187671,2019-11-21,Bay Oval,Mount Maunganui,Test,New Zealand,England,England,bat,New Zealand,1165,29,2547,424.5
1187672,2019-11-29,Seddon Park,Hamilton,Test,New Zealand,England,England,field,,1092,22,2208,368.0
1187685,2020-02-21,Basin Reserve,Wellington,Test,New Zealand,India,New Zealand,field,New Zealand,713,30,1513,252.17
1187686,2020-02-29,Hagley Oval,Christchurch,Test,New Zealand,India,New Zealand,field,New Zealand,733,33,1311,218.5
1188628,2019-08-22,"Sir Vivian Richards Stadium, Antigua",North Sound,Test,West Indies,India,West Indies,field,India,962,37,1868,311.33
1188629,2019-08-30,"Sabina Park, Jamaica",Kingston,Test,West Indies,India,West Indies,field,India,911,35,1816,302.67
1192873,2019-08-14,Galle International Stadium,Galle,Test,Sri Lanka,New Zealand,New Zealand,bat,Sri Lanka,1069,34,2217,369.5
1192874,2019-08-22,P Sara Oval,Colombo,Test,Sri Lanka,New Zealand,Sri Lanka,bat,New Zealand,797,26,1661,276.83
1198241,2020-08-05,Old Trafford,Manchester,Test,Pakistan,England,Pakistan,bat,England,991,37,1873,312.17
1198242,2020-08-13,The Rose Bowl,Southampton,Test,Pakistan,England,Pakistan,bat,,346,14,813,135.5
1198243,2020-08-21,The Rose Bowl,Southampton,Test,England,Pakistan,England,bat,,1043,22,1996,332.67
1206635,2019-12-11,Rawalpindi Cricket Stadium,Rawalpindi,Test,Pakistan,Sri Lanka,Sri Lanka,bat,,560,8,1008,168.0
