match_type,batsman,matches,innings,runs,balls_faced,fours,sixes,dismissals,strike_rate
odi,Washington Sundar,15,2,329,400,24,10,14,82.25
odi,Wasim Akram,5,2,71,72,10,1,2,98.61111111111111
odi,Wasim Ali,6,2,54,95,6,2,4,56.84210526315789
odi,XJ Doherty,22,2,101,188,5,1,6,53.72340425531915
odi,XM Marshall,26,2,379,677,41,4,25,55.98227474150664
odi,Y Cariah,7,2,93,167,6,1,7,55.688622754491014
odi,Y Fourie,3,2,1,8,0,0,2,12.5
odi,Y Punja,1,1,1,7,0,0,1,14.285714285714285
odi,Y Venugopal Rao,8,2,161,257,12,2,8,62.64591439688716
odi,Y van der Westhuizen,2,2,23,39,2,0,1,58.97435897435898
odi,YBK Jaiswal,1,1,15,23,3,0,1,65.21739130434783
odi,YH Bhatia,27,2,666,953,78,2,26,69.88457502623295
odi,YK Pathan,41,2,810,736,62,43,30,110.05434782608697
odi,YS Chahal,14,2,77,144,8,0,9,53.47222222222222
odi,YS Samra,5,2,142,223,14,5,4,63.67713004484305
odi,Yasir Ali Chowdhury,5,2,101,106,8,4,5,95.28301886792453
odi,Yasir Arafat,5,2,64,103,7,1,3,62.13592233009708
odi,Yasir Hameed,39,2,1459,2225,159,4,42,65.57303370786516
odi,Yasir Mohammad,2,2,5,20,0,0,2,25.0
odi,Yasir Shah,12,2,127,153,9,1,6,83.00653594771242
odi,Younis Khan,168,2,4777,6411,388,36,165,74.51255654344095
odi,Yousuf Youhana,53,2,1740,2208,126,20,43,78.80434782608695
odi,Yuvraj Singh,208,2,6868,8037,722,133,173,85.45477168097548
odi,Z Crawley,8,2,199,208,23,2,7,95.67307692307693
odi,Z Groenewald,2,1,4,19,0,0,1,21.052631578947366
odi,Z James,19,2,190,457,18,1,17,41.57549234135667
odi,Z Khan,59,2,531,758,47,16,44,70.05277044854881
odi,Z Mali,2,2,2,7,0,0,0,28.57142857142857
odi,ZB Lion-Cachet,6,2,155,210,13,1,6,73.80952380952381
odi,ZE Green,38,2,822,1138,88,9,35,72.23198594024605
odi,ZE Surkari,8,2,127,299,7,0,7,42.474916387959865
odi,Zafar Gohar,1,1,15,15,0,1,1,100.0
odi,Zaheer Maqsood,1,1,5,10,1,0,0,50.0
odi,Zahid Hussain,2,1,9,31,1,0,1,29.03225806451613
odi,Zahid Mahmood,2,2,9,12,0,1,0,75.0
odi,Zahid Shah,2,1,11,20,2,0,0,55.00000000000001
odi,Zahoor Khan,38,2,143,259,10,4,20,55.21235521235521
odi,Zain Abbas,1,1,26,55,2,0,1,47.27272727272727
odi,Zakir Hasan,1,1,1,5,0,0,1,20.0
odi,Zawar Farid,8,2,132,145,15,4,7,91.0344827586207
odi,Zeeshan Maqsood,45,2,1196,1855,101,15,39,64.4743935309973
odi,Zeeshan Siddiqi,1,1,7,21,1,0,1,33.33333333333333
odi,Ziaur Rahman,10,2,83,91,9,3,10,91.20879120879121
odi,Zubayr Hamza,1,1,56,82,5,1,1,68.29268292682927
odi,Zuhaib Zubair,3,2,38,41,3,1,3,92.6829268292683
odi,Zulfiqar Babar,5,2,35,40,2,1,2,87.5
odi,Zulqarnain Haider,4,2,48,70,3,0,3,68.57142857142857
