match_type,batsman,batting_team,runs,balls,dismissals,strike_rate,team2
t20,AEMP Durayalage,Romania,13,38,3,34.21052631578947,Bulgaria
t20,AF Aoina,Samoa,52,73,4,71.23287671232876,Vanuatu
t20,AF Buurman,Netherlands,0,2,1,0.0,Oman
t20,AF Ifill,Cayman Islands,94,152,13,61.8421052631579,United States of America
t20,AF Mapu,Samoa,8,10,2,80.0,Vanuatu
t20,AF Milne,New Zealand,83,89,10,93.25842696629213,Bangladesh
t20,AG Cremer,Zimbabwe,62,90,11,68.88888888888889,India
t20,AG Prince,South Africa,5,6,0,83.33333333333334,Bangladesh
t20,AG Rao,United States of America,1,4,1,25.0,Canada
t20,AG Weligamage,Hungary,101,97,6,104.1237113402062,Czech Republic
t20,AGS Gous,United States of America,752,538,23,139.77695167286245,Canada
t20,AH Maqsood,Scotland,38,73,8,52.054794520547944,Ireland
t20,AH Thomson,Netherlands,32,65,6,49.23076923076923,Oman
t20,AI Chudasama,United States of America,65,84,5,77.38095238095238,Canada
t20,AISD Kainoco,Fiji,8,15,3,53.333333333333336,Papua New Guinea
t20,AIV Benatar,Gibraltar,147,254,6,57.874015748031496,Portugal
t20,AJ Ayannaike,Nigeria,115,153,17,75.16339869281046,Oman
t20,AJ Blackwell,Australia,529,600,24,88.16666666666667,Sri Lanka
t20,AJ Finch,Australia,3120,2265,90,137.74834437086093,Sri Lanka
t20,AJ Hall,South Africa,11,10,1,110.00000000000001,Bangladesh
t20,AJ Healy,Australia,2727,2169,101,125.72614107883817,Sri Lanka
t20,AJ Hosein,West Indies,244,231,15,105.62770562770562,England
t20,AJ Jabiri,Tanzania,122,220,15,55.45454545454545,Uganda
t20,AJ Kenealy,Ireland,18,23,5,78.26086956521739,Hong Kong
t20,AJ McKay,New Zealand,0,1,1,0.0,Bangladesh
t20,AJ Michael,Samoa,66,81,3,81.48148148148148,Vanuatu
t20,AJ Mosca,Italy,313,264,10,118.56060606060606,Jersey
t20,AJ Parmar,Norway,2,5,0,40.0,Germany
