match_type,batsman,matches,innings,runs,balls_faced,fours,sixes,dismissals,strike_rate
t20,Asim Ashraf,3,2,42,79,5,0,3,53.16455696202531
t20,Aslam Khan,12,2,170,123,11,14,10,138.21138211382114
t20,Aslam Mohammad,9,2,171,155,11,12,10,110.3225806451613
t20,Aslan Jafri,5,2,23,27,2,0,5,85.18518518518519
t20,Asma Shifa,2,1,5,26,0,0,2,19.230769230769234
t20,Asmavia Iqbal,32,2,294,315,16,12,26,93.33333333333333
t20,Asrar Ahmed,3,2,62,74,8,1,1,83.78378378378379
t20,Assad Borham,3,2,11,20,1,0,2,55.00000000000001
t20,Ateeq Iqbal,7,2,16,19,1,0,1,84.21052631578947
t20,Atif Kamal,5,2,23,28,1,1,4,82.14285714285714
t20,Atif Mehmood,7,2,44,48,2,2,3,91.66666666666666
t20,Atif Rasheed,13,3,202,165,10,10,13,122.42424242424241
t20,Atif-Ur-Rehman,6,2,18,20,0,0,1,90.0
t20,Attia Diwan Ali,2,2,2,14,0,0,1,14.285714285714285
t20,Aung Ko Ko,6,2,16,36,1,0,4,44.44444444444444
t20,Avesh Khan,5,2,27,20,3,1,2,135.0
t20,Avi Dixit,10,2,86,95,6,1,9,90.52631578947368
t20,Aviel Warsulkar,2,2,2,3,0,0,0,66.66666666666666
t20,Awais Ahmed,16,2,244,224,25,9,14,108.92857142857142
t20,Awais Ikram,5,2,29,29,3,1,4,100.0
t20,Awais Zia,5,2,70,86,4,3,5,81.3953488372093
t20,Ayan Khan,34,2,540,531,33,16,30,101.69491525423729
t20,Ayasha Rahman,35,2,505,685,47,11,37,73.72262773722628
t20,Ayesha Hasan,9,2,148,224,12,0,12,66.07142857142857
t20,Ayesha Naseem,26,2,369,301,20,18,19,122.59136212624584
t20,Ayesha Zafar,16,2,198,245,24,0,14,80.81632653061224
t20,Aysha,28,2,525,493,64,4,26,106.49087221095334
t20,Ayush Ummat,1,1,0,5,0,0,1,0.0
t20,Ayyaz Qureshi,4,2,55,76,5,0,4,72.36842105263158
t20,Azam Khalil,7,2,98,83,6,4,8,118.07228915662651
t20,Azam Khan,11,2,87,64,6,7,8,135.9375
t20,Azeem Nazir,2,2,36,42,5,0,2,85.71428571428571
t20,Azhar Andani,11,2,258,261,30,1,10,98.85057471264368
t20,Azin Rafeeg,1,1,2,6,0,0,0,33.33333333333333
t20,Aziz Mohammad,8,2,147,113,10,13,8,130.08849557522123
t20,Aziz Sualley,5,2,9,17,1,0,3,52.94117647058824
t20,Azmat Ali,1,1,17,20,0,1,1,85.0
t20,Azyan Farhath,32,2,726,908,53,11,27,79.95594713656388
t20,B Angeltti,2,2,2,9,0,0,2,22.22222222222222
t20,B Arora,39,2,676,794,63,17,33,85.13853904282117
t20,B Balala,3,1,9,20,0,0,2,45.0
t20,B Bezuidenhout,23,2,247,253,30,2,20,97.62845849802372
t20,B Bhadriraju,3,2,6,12,1,0,3,50.0
t20,B Bhandari,26,2,363,314,29,16,22,115.60509554140128
t20,B Biza,10,2,173,211,16,0,13,81.99052132701422
t20,B Bulganchimeg,1,1,0,1,0,0,1,0.0
t20,B Cooper,40,2,411,497,43,6,34,82.69617706237425
t20,B Coulibaly,1,1,0,1,0,0,0,0.0
t20,B Dugic,3,2,5,12,0,0,2,41.66666666666667
t20,B Ercegovcevic,1,1,1,1,0,0,0,100.0
t20,B Etim,20,2,215,342,22,1,17,62.86549707602339
t20,B Evans,5,2,41,42,1,1,5,97.61904761904762
t20,B Fernando,5,1,37,38,2,1,3,97.36842105263158
t20,B Fitchet,8,2,114,97,15,3,8,117.5257731958763
t20,B Freeman,4,2,7,36,0,0,3,19.444444444444446
t20,B Gaanamong,4,2,26,55,1,0,2,47.27272727272727
t20,B George,27,2,620,519,41,34,26,119.46050096339114
t20,B Ichinkhorloo,10,2,33,181,0,0,10,18.23204419889503
t20,B Isaac,4,2,20,45,0,0,4,44.44444444444444
t20,B Ito-Davis,11,2,137,122,10,2,9,112.29508196721312
t20,B Ivanov,2,1,15,32,1,0,0,46.875
t20,B Jerkovic,7,2,34,76,1,0,3,44.73684210526316
t20,B Kgosiemang,5,2,17,37,1,0,1,45.94594594594595
t20,B Khumalo,8,2,22,37,1,0,3,59.45945945945946
t20,B Kohler-Cadmore,4,2,87,62,8,6,4,140.3225806451613
t20,B Kumar,19,2,67,95,0,0,8,70.52631578947368
