match_type,batsman,batting_team,runs,balls,dismissals,strike_rate,team2
odi,PD Collingwood,England,4132,5497,116,75.16827360378389,Bangladesh
odi,PD Macchi,Oman,12,31,2,38.70967741935484,Papua New Guinea
odi,PD McGlashan,New Zealand,63,53,1,118.86792452830188,Bangladesh
odi,PD Salt,England,976,861,30,113.35656213704995,Bangladesh
odi,PDRL Perera,Sri Lanka,5,9,2,55.55555555555556,Australia
odi,PG Fulton,New Zealand,1216,1726,38,70.45191193511008,Bangladesh
odi,PG Gillespie,Ireland,2,11,2,18.181818181818183,Bangladesh
odi,PG Raut,India,1436,2350,39,61.1063829787234,Pakistan
odi,PHKD Mendis,Sri Lanka,353,488,15,72.3360655737705,Australia
odi,PHT Kaushal,Sri Lanka,0,1,1,0.0,Australia
odi,PJ Cummins,Australia,525,652,38,80.52147239263803,Pakistan
odi,PJ Forrest,Australia,368,577,13,63.77816291161178,Pakistan
odi,PJ Hughes,Australia,826,1118,22,73.8819320214669,Pakistan
odi,PJ Ingram,New Zealand,193,239,7,80.75313807531381,Bangladesh
odi,PJ Moor,Zimbabwe,520,781,28,66.58130601792574,India
odi,PJ Ongondo,Kenya,150,250,19,60.0,New Zealand
odi,PJ Scholfield,England,59,61,3,96.72131147540983,Bangladesh
odi,PJ te Beest,Netherlands,3,53,1,5.660377358490567,Zimbabwe
odi,PJC Hoffmann,Scotland,30,23,2,130.43478260869566,Hong Kong
odi,PJK Mooney,Ireland,11,8,1,137.5,Bangladesh
odi,PKD Chase,Ireland,22,33,6,66.66666666666666,Bangladesh
odi,PL Mommsen,Scotland,601,786,16,76.46310432569975,Hong Kong
odi,PLS Gamage,Sri Lanka,4,27,2,14.814814814814813,Australia
odi,PM Inglis,New Zealand,43,26,0,165.3846153846154,Bangladesh
odi,PM Liyanagamage,Sri Lanka,28,84,5,33.33333333333333,Australia
odi,PM Pushpakumara,Sri Lanka,11,26,2,42.30769230769231,Australia
odi,PM Seelaar,Netherlands,218,366,18,59.56284153005464,Zimbabwe
odi,PM Siddle,Australia,31,30,3,103.33333333333334,Pakistan
odi,PM Weerakkody,Sri Lanka,638,1172,34,54.436860068259385,Australia
odi,PN Sproul,Scotland,28,66,4,42.42424242424242,Hong Kong
odi,PP Chawla,India,38,60,7,63.33333333333333,Pakistan
odi,PP Ojha,India,46,114,2,40.35087719298245,Pakistan
odi,PP Shaw,India,189,174,6,108.62068965517241,Pakistan
odi,PR Stirling,Ireland,3548,4148,107,85.53519768563163,Bangladesh
odi,PRCS Kumarihami,Sri Lanka,283,764,19,37.04188481675393,Australia
odi,PRP Boissevain,Netherlands,33,57,3,57.89473684210527,Zimbabwe
odi,PS Athavale,Oman,103,176,9,58.52272727272727,Papua New Guinea
odi,PS Masvaure,Zimbabwe,40,63,2,63.49206349206349,India
odi,PS Punia,India,273,503,10,54.27435387673957,Pakistan
odi,PSP Handscomb,Australia,632,656,19,96.34146341463415,Pakistan
odi,PT Collins,West Indies,3,10,2,30.0,England
odi,PVD Chameera,Sri Lanka,262,439,21,59.68109339407744,Australia
odi,PW Borren,Netherlands,413,463,13,89.20086393088553,Zimbabwe
odi,PW Gunaratne,Sri Lanka,15,15,0,100.0,Australia
odi,PWA Mulder,South Africa,210,241,13,87.13692946058092,Sri Lanka
